time	V(probe)
Step Information: J4=-2  (Step: 1/2)
0.000000000000000e+00	2.947711e-06
1.000000000000000e-09	2.947711e-06
1.199449531894432e-09	2.947711e-06
1.246474218195727e-09	1.065177e-01
1.257386626816080e-09	2.992947e-01
1.266069598414530e-09	5.795311e-01
1.272393663345200e-09	7.564335e-01
1.279158100655551e-09	8.775434e-01
1.292551114354285e-09	1.021047e+00
1.307628725291782e-09	1.101847e+00
1.328285394314868e-09	1.137642e+00
1.351198318185721e-09	1.136917e+00
1.385760460902123e-09	1.106952e+00
1.423914448605722e-09	1.059992e+00
1.441987363462310e-09	1.033106e+00
1.463854170286823e-09	9.951630e-01
1.500000000000000e-09	9.263917e-01
1.503614582971318e-09	9.186396e-01
1.510843748913953e-09	9.028358e-01
1.525302080799224e-09	8.698784e-01
1.554218744569765e-09	7.995606e-01
1.612052072110848e-09	6.494555e-01
1.700829815601634e-09	4.127004e-01
1.800907874396684e-09	1.511445e-01
1.840549729785236e-09	5.297141e-02
1.856535860396443e-09	1.553224e-02
1.867610589626623e-09	-9.610851e-03
1.873107664977378e-09	-2.186455e-02
1.879541635184338e-09	-3.602075e-02
1.883239905902433e-09	-4.407344e-02
1.888241087078776e-09	-5.482151e-02
1.898243449431463e-09	-7.598624e-02
1.908388593340934e-09	-9.703030e-02
1.918804132524491e-09	-1.180684e-01
1.933522074298277e-09	-1.469488e-01
1.944976629942102e-09	-1.687043e-01
1.958030857668207e-09	-1.925786e-01
1.972880488285878e-09	-2.185567e-01
1.992601830072206e-09	-2.509944e-01
2.020394261386103e-09	-2.932801e-01
2.044562564745433e-09	-3.265505e-01
2.071982502937373e-09	-3.593201e-01
2.114218478480842e-09	-4.014481e-01
2.151508733699987e-09	-4.303761e-01
2.192259860006171e-09	-4.522959e-01
2.233459192953823e-09	-4.647262e-01
2.281373490797151e-09	-4.678416e-01
2.329205963549850e-09	-4.605998e-01
2.367351831028503e-09	-4.472600e-01
2.410421886262873e-09	-4.251813e-01
2.443380535694252e-09	-4.040127e-01
2.476651153873485e-09	-3.790195e-01
2.508687360155619e-09	-3.521866e-01
2.543244313531244e-09	-3.205101e-01
2.598810370671192e-09	-2.659490e-01
2.665970675513204e-09	-1.977349e-01
2.763843662275697e-09	-9.949199e-02
2.873526295444586e-09	3.757252e-03
2.977589701551574e-09	8.590014e-02
3.084611997522601e-09	1.371325e-01
3.193874484353885e-09	1.419296e-01
3.302374392772958e-09	1.039794e-01
3.401867344338788e-09	4.663373e-02
3.479793901973606e-09	-4.739452e-03
3.557543269803037e-09	-6.006066e-02
3.652554857612667e-09	-1.361146e-01
3.702418938392338e-09	-1.824365e-01
3.735353843328037e-09	-2.168160e-01
3.765053534809224e-09	-2.491288e-01
3.802172241041263e-09	-2.887983e-01
3.830439334205032e-09	-3.169968e-01
3.854958930538223e-09	-3.388315e-01
3.882381868550126e-09	-3.597023e-01
3.921889497719742e-09	-3.842044e-01
3.963861009580120e-09	-4.044866e-01
3.998067335131145e-09	-4.169639e-01
4.022707831424164e-09	-4.234488e-01
4.058433724399220e-09	-4.299337e-01
4.078753567155346e-09	-4.320717e-01
4.101677735561084e-09	-4.326522e-01
4.124721191741851e-09	-4.315174e-01
4.145761672078638e-09	-4.287445e-01
