time	V(pulse)	V(ref)	V(v+)
0.000000000000000e+00	2.836846e-03	2.833551e-03	3.297166e+00
1.000000000000000e-09	2.836846e-03	2.833551e-03	3.297166e+00
1.199449531894432e-09	2.836846e-03	2.833551e-03	3.297166e+00
1.246474218195726e-09	1.037227e+00	2.376102e-01	3.062390e+00
1.257386626816079e-09	1.844260e+00	6.123320e-01	2.687668e+00
1.266401790682671e-09	2.139438e+00	1.091452e+00	2.208548e+00
1.271870336896753e-09	2.007427e+00	1.255502e+00	2.044498e+00
1.277884820186995e-09	1.967235e+00	1.306615e+00	1.993385e+00
1.284638827352290e-09	1.954299e+00	1.324326e+00	1.975674e+00
1.295727503265145e-09	1.957336e+00	1.323480e+00	1.976520e+00
1.308603897569313e-09	1.971238e+00	1.309753e+00	1.990247e+00
1.324071187604731e-09	1.991989e+00	1.288391e+00	2.011608e+00
1.341405199373031e-09	2.016345e+00	1.263266e+00	2.036734e+00
1.362892115445942e-09	2.047286e+00	1.231386e+00	2.068614e+00
1.388464665478373e-09	2.084794e+00	1.192802e+00	2.107198e+00
1.437741720348168e-09	2.157898e+00	1.117717e+00	2.182283e+00
1.449094579254168e-09	2.174873e+00	1.100311e+00	2.199689e+00
1.471800297066166e-09	2.209017e+00	1.065352e+00	2.234648e+00
1.500000000000000e-09	2.251486e+00	1.021901e+00	2.278099e+00
1.525379732640450e-09	2.289857e+00	9.827154e-01	2.317284e+00
1.550759465280901e-09	2.327685e+00	9.441216e-01	2.355878e+00
1.576139197921351e-09	2.364971e+00	9.061199e-01	2.393880e+00
1.601518930561802e-09	2.401714e+00	8.687102e-01	2.431290e+00
1.626898663202252e-09	2.437915e+00	8.318926e-01	2.468107e+00
1.652278395842702e-09	2.473574e+00	7.956670e-01	2.504333e+00
1.677658128483153e-09	2.508690e+00	7.600335e-01	2.539967e+00
1.858136227259689e-09	2.747262e+00	5.182226e-01	2.781777e+00
1.902583024707189e-09	2.801596e+00	4.632874e-01	2.836713e+00
1.937472406311852e-09	2.841303e+00	4.232211e-01	2.876779e+00
1.951530645881806e-09	2.856757e+00	4.076380e-01	2.892362e+00
1.970205222142208e-09	2.876788e+00	3.874490e-01	2.912551e+00
1.978581027010481e-09	2.885620e+00	3.785502e-01	2.921450e+00
1.988900519842189e-09	2.896322e+00	3.677706e-01	2.932229e+00
2.000612471101950e-09	2.908293e+00	3.557161e-01	2.944284e+00
2.012322834062544e-09	2.920079e+00	3.438502e-01	2.956150e+00
2.022332507135926e-09	2.930000e+00	3.338655e-01	2.966135e+00
2.032115626180209e-09	2.939555e+00	3.242508e-01	2.975749e+00
2.040912301837472e-09	2.948029e+00	3.157260e-01	2.984274e+00
2.049860002307050e-09	2.956530e+00	3.071761e-01	2.992824e+00
2.059495486794174e-09	2.965560e+00	2.980961e-01	3.001904e+00
2.068302878350003e-09	2.973701e+00	2.899117e-01	3.010088e+00
2.076881354827368e-09	2.981525e+00	2.820474e-01	3.017952e+00
2.084285143044391e-09	2.988192e+00	2.753480e-01	3.024652e+00
2.092295623032097e-09	2.995311e+00	2.681946e-01	3.031806e+00
2.101035740919511e-09	3.002977e+00	2.604944e-01	3.039505e+00
2.110106681847385e-09	3.010800e+00	2.526384e-01	3.047362e+00
2.125820067577502e-09	3.024057e+00	2.393291e-01	3.060671e+00
2.145486755184718e-09	3.040172e+00	2.231578e-01	3.076842e+00
2.170549739935319e-09	3.059930e+00	2.033413e-01	3.096659e+00
2.199677357529528e-09	3.081888e+00	1.813325e-01	3.118667e+00
2.226383120109333e-09	3.101056e+00	1.621340e-01	3.137866e+00
2.252251708449437e-09	3.118693e+00	1.444819e-01	3.155518e+00
2.278544980285979e-09	3.135781e+00	1.273906e-01	3.172609e+00
2.297042278055661e-09	3.147275e+00	1.159011e-01	3.184099e+00
2.314883236099693e-09	3.157911e+00	1.052765e-01	3.194723e+00
2.332130825695529e-09	3.167828e+00	9.537455e-02	3.204625e+00
2.346468019462536e-09	3.175783e+00	8.743527e-02	3.212565e+00
2.362653641344962e-09	3.184375e+00	7.886585e-02	3.221134e+00
2.395024885109814e-09	3.200672e+00	6.262433e-02	3.237376e+00
2.425583787415506e-09	3.214920e+00	4.843996e-02	3.251560e+00
2.477823866650427e-09	3.237216e+00	2.627297e-02	3.273727e+00
2.505817318624121e-09	3.248137e+00	1.542891e-02	3.284571e+00
2.531910195151179e-09	3.257454e+00	6.187604e-03	3.293813e+00
2.549433738431392e-09	3.263296e+00	3.961662e-04	3.299604e+00
2.564295822293558e-09	3.267908e+00	-4.177224e-03	3.304177e+00
2.580343909250247e-09	3.272353e+00	-8.603069e-03	3.308603e+00
2.601738797039624e-09	3.276936e+00	-1.321250e-02	3.313213e+00
2.629687256313894e-09	3.280423e+00	-1.676270e-02	3.316763e+00
2.668268786429427e-09	3.282728e+00	-1.906189e-02	3.319062e+00
2.696794570100762e-09	3.284465e+00	-2.069424e-02	3.320694e+00
2.730404318685991e-09	3.287907e+00	-2.396798e-02	3.323968e+00
2.774403425311912e-09	3.294293e+00	-3.013364e-02	3.330133e+00
2.836941734445417e-09	3.305905e+00	-4.138109e-02	3.341381e+00
2.909683846332886e-09	3.324333e+00	-5.923494e-02	3.359235e+00
3.048707479467049e-09	3.372881e+00	-1.062595e-01	3.406260e+00
3.159417203097216e-09	3.420948e+00	-1.528360e-01	3.452836e+00
3.272473485669379e-09	3.470843e+00	-2.011009e-01	3.501101e+00
3.361181825374683e-09	3.505724e+00	-2.345340e-01	3.534534e+00
3.458199514055964e-09	3.544204e+00	-2.711150e-01	3.571115e+00
3.522254777959637e-09	3.571891e+00	-2.974513e-01	3.597451e+00
3.595774953349400e-09	3.603479e+00	-3.274338e-01	3.627434e+00
3.682413478032818e-09	3.638247e+00	-3.602090e-01	3.660209e+00
3.752776130299516e-09	3.664342e+00	-3.846319e-01	3.684632e+00
3.807650576969946e-09	3.681756e+00	-4.007626e-01	3.700763e+00
3.872942833671478e-09	3.697718e+00	-4.152796e-01	3.715280e+00
3.901602997579927e-09	3.702605e+00	-4.195240e-01	3.719524e+00
3.943177730546403e-09	3.708086e+00	-4.240128e-01	3.724013e+00
3.977369290746739e-09	3.712468e+00	-4.275739e-01	3.727574e+00
4.013758326203391e-09	3.716760e+00	-4.310159e-01	3.731016e+00
4.031707688135197e-09	3.718457e+00	-4.323077e-01	3.732308e+00
4.058220939435155e-09	3.720162e+00	-4.334434e-01	3.733443e+00
4.076485157670968e-09	3.720769e+00	-4.336604e-01	3.733660e+00
4.100932722634311e-09	3.721043e+00	-4.333915e-01	3.733392e+00
4.126705107406410e-09	3.720975e+00	-4.327556e-01	3.732756e+00
4.157262466598624e-09	3.720064e+00	-4.312083e-01	3.731208e+00
4.195438346747368e-09	3.717552e+00	-4.279304e-01	3.727930e+00
4.223045391839683e-09	3.714832e+00	-4.246614e-01	3.724661e+00
4.251176506104646e-09	3.711386e+00	-4.206643e-01	3.720664e+00
4.266924955926296e-09	3.709185e+00	-4.181589e-01	3.718159e+00
4.291328458826488e-09	3.705446e+00	-4.139519e-01	3.713952e+00
4.312117528708185e-09	3.701965e+00	-4.100846e-01	3.710084e+00
4.341320754841873e-09	3.696468e+00	-4.040738e-01	3.704074e+00
4.366089843239914e-09	3.691209e+00	-3.983934e-01	3.698393e+00
4.391498896352350e-09	3.685319e+00	-3.920730e-01	3.692073e+00
4.407823516128490e-09	3.681356e+00	-3.878345e-01	3.687835e+00
4.431829389698087e-09	3.675363e+00	-3.814427e-01	3.681443e+00
4.452926930986212e-09	3.669928e+00	-3.756704e-01	3.675670e+00
4.478933980989505e-09	3.662921e+00	-3.682655e-01	3.668266e+00
4.507849019548874e-09	3.654858e+00	-3.597642e-01	3.659764e+00
4.541439664526792e-09	3.645501e+00	-3.498901e-01	3.649890e+00
4.568924387078656e-09	3.638059e+00	-3.420303e-01	3.642030e+00
4.592085976814457e-09	3.631854e+00	-3.354958e-01	3.635496e+00
4.616614904016561e-09	3.625056e+00	-3.283801e-01	3.628380e+00
4.638137758356881e-09	3.618601e+00	-3.216771e-01	3.621677e+00
4.664510326213526e-09	3.609842e+00	-3.126466e-01	3.612647e+00
4.690291790913273e-09	3.600576e+00	-3.031155e-01	3.603116e+00
4.715881775300261e-09	3.591334e+00	-2.935709e-01	3.593571e+00
4.742453056058438e-09	3.582381e+00	-2.842693e-01	3.584269e+00
4.758808072529207e-09	3.577391e+00	-2.790680e-01	3.579068e+00
4.778055354143285e-09	3.571928e+00	-2.733732e-01	3.573373e+00
4.788320230841043e-09	3.569107e+00	-2.704351e-01	3.570435e+00
4.805263241094206e-09	3.564572e+00	-2.657082e-01	3.565708e+00
4.821523678661218e-09	3.560378e+00	-2.613267e-01	3.561327e+00
4.840950097120829e-09	3.555629e+00	-2.563534e-01	3.556354e+00
4.862960914809533e-09	3.550535e+00	-2.510108e-01	3.551011e+00
4.882979739906749e-09	3.546086e+00	-2.463467e-01	3.546347e+00
4.899949161187510e-09	3.542317e+00	-2.424139e-01	3.542414e+00
4.922559564838472e-09	3.537088e+00	-2.369910e-01	3.536991e+00
4.936724102977981e-09	3.533650e+00	-2.334333e-01	3.533433e+00
4.955425145833254e-09	3.529031e+00	-2.286395e-01	3.528640e+00
4.961981869550717e-09	3.527449e+00	-2.269907e-01	3.526991e+00
4.967604632756044e-09	3.526138e+00	-2.256201e-01	3.525620e+00
4.973092160090841e-09	3.524893e+00	-2.243178e-01	3.524318e+00
4.979237759308476e-09	3.523533e+00	-2.228962e-01	3.522896e+00
4.989984207497048e-09	3.521201e+00	-2.204622e-01	3.520462e+00
5.001779632809439e-09	3.518683e+00	-2.178345e-01	3.517835e+00
5.014635125846790e-09	3.515997e+00	-2.150272e-01	3.515027e+00
5.023751191029810e-09	3.514158e+00	-2.130981e-01	3.513098e+00
5.031927627651814e-09	3.512575e+00	-2.114339e-01	3.511434e+00
5.041224522196734e-09	3.510815e+00	-2.095893e-01	3.509589e+00
5.050165930275502e-09	3.509113e+00	-2.078150e-01	3.507815e+00
5.057730218538126e-09	3.507628e+00	-2.062759e-01	3.506276e+00
5.067587464730979e-09	3.505621e+00	-2.041997e-01	3.504200e+00
5.077639902954518e-09	3.503518e+00	-2.020234e-01	3.502023e+00
5.091953402824045e-09	3.500519e+00	-1.989088e-01	3.498909e+00
5.106664681148163e-09	3.497525e+00	-1.957830e-01	3.495783e+00
5.114471292979645e-09	3.496025e+00	-1.942070e-01	3.494207e+00
5.122185779310930e-09	3.494637e+00	-1.927430e-01	3.492743e+00
5.130160399220790e-09	3.493280e+00	-1.913107e-01	3.491311e+00
5.141083613595399e-09	3.491509e+00	-1.894410e-01	3.489441e+00
5.153193818343798e-09	3.489630e+00	-1.874546e-01	3.487455e+00
5.166169913464775e-09	3.487704e+00	-1.854166e-01	3.485417e+00
5.180950335542870e-09	3.485604e+00	-1.831907e-01	3.483191e+00
5.199918214422533e-09	3.482982e+00	-1.804163e-01	3.480416e+00
5.218299995532470e-09	3.480416e+00	-1.777141e-01	3.477714e+00
5.241639422577051e-09	3.477020e+00	-1.741577e-01	3.474158e+00
5.260447403092773e-09	3.474215e+00	-1.712179e-01	3.471218e+00
5.279548875018423e-09	3.471533e+00	-1.683813e-01	3.468381e+00
5.307411960553874e-09	3.468180e+00	-1.647818e-01	3.464782e+00
5.328198769315190e-09	3.466178e+00	-1.625951e-01	3.462595e+00
5.351987653786837e-09	3.464313e+00	-1.605291e-01	3.460529e+00
5.363790399335921e-09	3.463464e+00	-1.595887e-01	3.459589e+00
5.380308568642349e-09	3.462275e+00	-1.582817e-01	3.458282e+00
5.392565178933371e-09	3.461330e+00	-1.572549e-01	3.457255e+00
5.406789628774374e-09	3.460140e+00	-1.559704e-01	3.455971e+00
5.433593474419556e-09	3.457864e+00	-1.535025e-01	3.453502e+00
5.459039665932897e-09	3.455917e+00	-1.513565e-01	3.451356e+00
5.483570321816480e-09	3.454305e+00	-1.495566e-01	3.449557e+00
5.513466121877427e-09	3.452392e+00	-1.474403e-01	3.447440e+00
5.541112282688548e-09	3.450450e+00	-1.453192e-01	3.445319e+00
5.569979809497918e-09	3.448312e+00	-1.429897e-01	3.442990e+00
5.601772144964069e-09	3.446017e+00	-1.404785e-01	3.440479e+00
5.622266556652329e-09	3.444614e+00	-1.389378e-01	3.438938e+00
5.646425646789389e-09	3.443012e+00	-1.371781e-01	3.437178e+00
5.671868068944307e-09	3.441254e+00	-1.352656e-01	3.435266e+00
5.707147436708332e-09	3.438562e+00	-1.323761e-01	3.432376e+00
5.732104597636830e-09	3.436434e+00	-1.301127e-01	3.430113e+00
5.757175525764638e-09	3.434133e+00	-1.276760e-01	3.427676e+00
