time	V(far)	V(near)	V(probe)
0.000000000000000e+00	2.345554e-03	2.345554e-03	2.662684e+00
1.000000000000000e-09	2.345554e-03	2.345554e-03	2.662684e+00
1.248610568318585e-09	2.345554e-03	2.345554e-03	2.662684e+00
1.250856815379709e-09	6.519963e-02	6.523278e-02	2.725538e+00
1.252042996485716e-09	1.282646e-01	1.283559e-01	2.788603e+00
1.252988854116649e-09	1.739874e-01	1.741633e-01	2.834326e+00
1.253992145932314e-09	2.184693e-01	2.187833e-01	2.878808e+00
1.255998729563644e-09	2.965111e-01	2.972922e-01	2.956850e+00
1.259880309471942e-09	4.137515e-01	4.163835e-01	3.074090e+00
1.264689107567785e-09	5.126312e-01	5.197648e-01	3.172970e+00
1.270350823844835e-09	5.854380e-01	6.017374e-01	3.245777e+00
1.276684148378837e-09	6.324707e-01	6.647313e-01	3.292809e+00
1.285123961909057e-09	6.642760e-01	7.280497e-01	3.324615e+00
1.294818360549185e-09	6.788359e-01	7.937023e-01	3.339175e+00
1.307767865720397e-09	6.836115e-01	8.906867e-01	3.343950e+00
1.323976505605967e-09	6.815739e-01	1.037765e+00	3.341913e+00
1.348357198585161e-09	6.744764e-01	1.303594e+00	3.334815e+00
1.375705868832002e-09	6.643729e-01	1.628254e+00	3.324712e+00
1.407228930082817e-09	6.497513e-01	1.974913e+00	3.310090e+00
1.442651489502989e-09	6.283364e-01	2.268331e+00	3.288675e+00
1.454394548730644e-09	6.199393e-01	2.337210e+00	3.280278e+00
1.477880667185955e-09	6.011182e-01	2.431417e+00	3.261457e+00
1.500000000000000e-09	5.810038e-01	2.472577e+00	3.241342e+00
1.506635799844214e-09	5.745282e-01	2.476914e+00	3.234867e+00
1.515483532969832e-09	5.656238e-01	2.478426e+00	3.225962e+00
1.533178999221068e-09	5.469250e-01	2.469114e+00	3.207263e+00
1.568569931723540e-09	5.066803e-01	2.422760e+00	3.167019e+00
1.628800502202837e-09	4.332950e-01	2.343488e+00	3.093634e+00
1.684333527509777e-09	3.644908e-01	2.330698e+00	3.024829e+00
1.754276099557821e-09	2.817819e-01	2.405143e+00	2.942121e+00
1.830659399251055e-09	1.990585e-01	2.528445e+00	2.859397e+00
1.852976695156024e-09	1.764785e-01	2.562104e+00	2.836817e+00
1.859564462728467e-09	1.716319e-01	2.571254e+00	2.826405e+00
1.863630357558311e-09	1.685415e-01	2.576715e+00	2.826283e+00
1.867499722072145e-09	1.645156e-01	2.581780e+00	2.822495e+00
1.871168299335154e-09	1.607300e-01	2.586464e+00	2.818923e+00
1.874632867852298e-09	1.571832e-01	2.590783e+00	2.815566e+00
1.881562004886587e-09	1.502493e-01	2.599126e+00	2.808831e+00
1.886922675245853e-09	1.452236e-01	2.605316e+00	2.803298e+00
1.892044629457645e-09	1.410324e-01	2.611023e+00	2.797382e+00
1.897137685384538e-09	1.378080e-01	2.616505e+00	2.790543e+00
1.902606169199716e-09	1.358133e-01	2.622187e+00	2.781766e+00
1.907523840457481e-09	1.346018e-01	2.627126e+00	2.777219e+00
1.911866830031672e-09	1.351796e-01	2.631360e+00	2.762555e+00
1.916408975698539e-09	1.373314e-01	2.635668e+00	2.758413e+00
1.924076324961792e-09	1.458431e-01	2.642683e+00	2.727489e+00
1.931031934463315e-09	1.569448e-01	2.648791e+00	2.721278e+00
1.940755025764840e-09	1.825920e-01	2.656979e+00	2.660639e+00
1.950281838545974e-09	2.247821e-01	2.664665e+00	2.613081e+00
1.958082654342684e-09	2.587531e-01	2.670758e+00	2.606419e+00
1.966840086153717e-09	2.866185e-01	2.677430e+00	2.599051e+00
1.973537670352323e-09	3.225185e-01	2.682438e+00	2.475362e+00
1.980635160280755e-09	3.739911e-01	2.687681e+00	2.469551e+00
1.986804525830657e-09	4.092592e-01	2.692199e+00	2.464564e+00
1.994172389559837e-09	4.412170e-01	2.697565e+00	2.458688e+00
2.001299970396185e-09	4.917304e-01	2.702742e+00	2.287875e+00
2.008607490733183e-09	5.599929e-01	2.708050e+00	2.282219e+00
2.015625993169203e-09	6.099720e-01	2.713160e+00	2.276870e+00
2.023871411378849e-09	6.517866e-01	2.719191e+00	2.270692e+00
2.032844670686236e-09	7.173609e-01	2.725801e+00	2.075164e+00
2.042091742606831e-09	7.996479e-01	2.732673e+00	2.068515e+00
2.051454993719199e-09	8.539762e-01	2.739699e+00	2.061934e+00
2.062317049798849e-09	8.871750e-01	2.747937e+00	2.054491e+00
2.074017583426496e-09	9.412466e-01	2.756907e+00	1.840961e+00
2.086327371363195e-09	1.020014e+00	2.766433e+00	1.784851e+00
2.099368090868276e-09	1.080479e+00	2.776594e+00	1.701395e+00
2.115564697008061e-09	1.115955e+00	2.789253e+00	1.680659e+00
2.147957909287632e-09	1.074913e+00	2.814332e+00	1.610319e+00
2.176507825405978e-09	9.755675e-01	2.835794e+00	1.580691e+00
2.208880175450016e-09	8.533364e-01	2.858875e+00	1.575623e+00
2.242714899121082e-09	7.675877e-01	2.881200e+00	1.562572e+00
2.279148097399209e-09	7.576011e-01	2.902985e+00	1.636556e+00
2.325723789775852e-09	8.775321e-01	2.927503e+00	1.709715e+00
2.377440661602782e-09	1.098852e+00	2.950783e+00	1.700013e+00
2.425007645520954e-09	1.398729e+00	2.968997e+00	1.892590e+00
2.475018517711398e-09	1.756238e+00	2.985209e+00	1.989246e+00
2.521587451021208e-09	1.993945e+00	2.994494e+00	2.076768e+00
2.566693496981746e-09	2.147918e+00	2.972249e+00	2.158887e+00
