time	V(far)	V(near)	V(probe)
0.000000000000000e+00	4.535242e-06	4.535242e-06	1.662151e-04
1.000000000000000e-09	4.535242e-06	4.535242e-06	1.662151e-04
1.248610568318584e-09	4.535242e-06	4.535242e-06	1.662151e-04
1.250856815379706e-09	1.818204e-01	1.823255e-01	1.819820e-01
1.252062953409657e-09	3.632247e-01	3.646181e-01	3.633863e-01
1.252971677143996e-09	4.825790e-01	4.851462e-01	4.827406e-01
1.253948421013445e-09	5.963940e-01	6.008015e-01	5.965557e-01
1.255901908752343e-09	7.861702e-01	7.962748e-01	7.863320e-01
1.258191584004901e-09	9.557632e-01	9.761362e-01	9.559248e-01
1.261407886188026e-09	1.123409e+00	1.164550e+00	1.123571e+00
1.265048224326321e-09	1.243463e+00	1.315748e+00	1.243624e+00
1.269967081579090e-09	1.333343e+00	1.456265e+00	1.333505e+00
1.275583406772437e-09	1.377119e+00	1.562586e+00	1.377281e+00
1.282157901463292e-09	1.388111e+00	1.643031e+00	1.388273e+00
1.290011619606776e-09	1.374743e+00	1.697058e+00	1.374904e+00
1.300434028716570e-09	1.337884e+00	1.717721e+00	1.338046e+00
1.311566701226863e-09	1.287077e+00	1.695813e+00	1.287239e+00
1.322656519776007e-09	1.229571e+00	1.650356e+00	1.229732e+00
1.335857401571138e-09	1.154481e+00	1.589892e+00	1.154642e+00
1.350132623638815e-09	1.067138e+00	1.533339e+00	1.067300e+00
1.369896809013736e-09	9.398516e-01	1.478491e+00	9.400132e-01
1.398067820250191e-09	7.558697e-01	1.437847e+00	7.560314e-01
1.430082517879828e-09	5.588927e-01	1.436349e+00	5.590544e-01
1.455234070681018e-09	4.232225e-01	1.472331e+00	4.233841e-01
1.500000000000000e-09	2.404004e-01	1.627392e+00	2.405621e-01
1.513429778795695e-09	2.014779e-01	1.696244e+00	2.016396e-01
1.531336150523288e-09	1.596532e-01	1.799933e+00	1.598149e-01
1.559018541338816e-09	1.149196e-01	1.982044e+00	1.150813e-01
1.582810196463071e-09	9.072517e-02	2.152384e+00	9.088685e-02
1.603386108381963e-09	7.535420e-02	2.303057e+00	7.551588e-02
1.623400701357678e-09	6.097449e-02	2.446771e+00	6.113617e-02
1.643388428000550e-09	4.340963e-02	2.582508e+00	4.357131e-02
1.662435145549045e-09	2.079977e-02	2.700754e+00	2.096145e-02
1.682809352604988e-09	-1.212916e-02	2.811885e+00	-1.196748e-02
1.703881597595121e-09	-5.714949e-02	2.907730e+00	-5.698781e-02
1.738249707892908e-09	-1.539407e-01	3.020546e+00	-1.537790e-01
1.775387567386383e-09	-2.829294e-01	3.087070e+00	-2.827677e-01
1.815552452683262e-09	-4.297366e-01	3.112160e+00	-4.295750e-01
1.861355086743672e-09	-5.683779e-01	3.116730e+00	-5.682162e-01
1.873140946281399e-09	-5.948889e-01	3.117819e+00	-5.947272e-01
1.879009126851077e-09	-6.047165e-01	3.118936e+00	-6.059389e-01
1.881116108607384e-09	-6.066751e-01	3.119451e+00	-6.096212e-01
1.882662790326858e-09	-6.064081e-01	3.119872e+00	-6.122057e-01
1.884300540571951e-09	-6.049320e-01	3.120358e+00	-6.148314e-01
1.885852623748606e-09	-6.038776e-01	3.120858e+00	-6.172132e-01
1.887838389184958e-09	-6.001450e-01	3.121556e+00	-6.201079e-01
1.890002657814319e-09	-5.943838e-01	3.122392e+00	-6.230653e-01
1.893156472719446e-09	-5.805155e-01	3.123760e+00	-6.270013e-01
1.896467388402668e-09	-5.565137e-01	3.125394e+00	-6.306496e-01
1.898493274104039e-09	-5.435566e-01	3.126496e+00	-6.326345e-01
1.901052815902339e-09	-5.254639e-01	3.128004e+00	-6.348713e-01
1.904329648716309e-09	-5.036287e-01	3.130129e+00	-6.372873e-01
1.908266994675106e-09	-4.768947e-01	3.132977e+00	-6.395215e-01
1.912940710466726e-09	-4.498377e-01	3.136789e+00	-6.412132e-01
1.919073817524278e-09	-4.234424e-01	3.142522e+00	-6.418438e-01
1.926568656075161e-09	-3.944110e-01	3.150680e+00	-6.401484e-01
1.931350601098865e-09	-3.963405e-01	3.156556e+00	-6.376483e-01
1.936641402981204e-09	-4.052782e-01	3.163668e+00	-6.336075e-01
1.942018972105289e-09	-4.162127e-01	3.171548e+00	-6.281341e-01
1.950122559176380e-09	-4.347329e-01	3.184635e+00	-6.173488e-01
1.956505024917181e-09	-4.389615e-01	3.195936e+00	-6.067550e-01
1.962887173026558e-09	-4.406461e-01	3.208065e+00	-5.943713e-01
1.969707106570709e-09	-4.440652e-01	3.221881e+00	-5.792515e-01
1.973871621088049e-09	-4.352779e-01	3.230722e+00	-5.691032e-01
1.978283584598342e-09	-4.184242e-01	3.240395e+00	-5.576223e-01
1.981382837843485e-09	-4.091250e-01	3.247365e+00	-5.491276e-01
1.985375077878866e-09	-3.989146e-01	3.256539e+00	-5.376872e-01
1.991850214043998e-09	-3.831555e-01	3.271828e+00	-5.180097e-01
1.995494615260200e-09	-3.595958e-01	3.280630e+00	-5.063616e-01
1.999294273576918e-09	-3.259779e-01	3.289931e+00	-4.938016e-01
2.001863378518746e-09	-3.092230e-01	3.296282e+00	-4.850848e-01
2.005099885904164e-09	-2.923641e-01	3.304338e+00	-4.738624e-01
2.010699968687018e-09	-2.694797e-01	3.318385e+00	-4.538621e-01
2.016483404409935e-09	-2.495563e-01	3.332969e+00	-4.325118e-01
2.019863170166822e-09	-2.081095e-01	3.341497e+00	-4.197539e-01
2.022976530697452e-09	-1.524727e-01	3.349335e+00	-4.078304e-01
2.025090792507461e-09	-1.246989e-01	3.354642e+00	-3.996524e-01
2.027669041611544e-09	-9.855401e-02	3.361087e+00	-3.896007e-01
2.032811010544181e-09	-6.476581e-02	3.373820e+00	-3.693367e-01
2.037971388755199e-09	-4.570900e-02	3.386390e+00	-3.487686e-01
2.044113553082174e-09	-3.053102e-02	3.400984e+00	-3.240988e-01
2.050908125739234e-09	-1.521388e-02	3.416539e+00	-2.967220e-01
2.054367776007801e-09	3.913649e-02	3.424181e+00	-2.828039e-01
2.057843147331359e-09	1.174462e-01	3.431639e+00	-2.688597e-01
2.059975309947270e-09	1.472154e-01	3.436100e+00	-2.603370e-01
2.062647958524107e-09	1.739659e-01	3.441557e+00	-2.496991e-01
2.066655758659265e-09	1.989273e-01	3.449444e+00	-2.338638e-01
2.072262723451337e-09	2.160693e-01	3.459832e+00	-2.120061e-01
2.078318188080826e-09	2.242263e-01	3.470130e+00	-1.888815e-01
2.082312414037349e-09	2.669860e-01	3.476361e+00	-1.739550e-01
2.086394380068316e-09	3.319691e-01	3.482233e+00	-1.590038e-01
2.089267167159768e-09	3.587181e-01	3.486053e+00	-1.486837e-01
2.092773138752652e-09	3.783728e-01	3.490350e+00	-1.363349e-01
2.098540422700657e-09	3.931306e-01	3.496506e+00	-1.166593e-01
2.104711779495025e-09	3.977253e-01	3.501785e+00	-9.655754e-02
2.113058810244387e-09	4.019848e-01	3.506651e+00	-7.109600e-02
2.122956201389314e-09	4.141996e-01	3.508869e+00	-4.371617e-02
2.127617054926566e-09	5.127886e-01	3.508536e+00	-3.194665e-02
2.132302378348611e-09	6.647066e-01	3.507288e+00	-2.087505e-02
2.135049574666068e-09	7.320234e-01	3.506127e+00	-1.474687e-02
2.138957324173538e-09	7.983068e-01	3.503922e+00	-6.502291e-03
2.146772823188478e-09	8.276653e-01	3.497560e+00	8.290825e-03
2.151766788830727e-09	8.138717e-01	3.492129e+00	1.654521e-02
2.156592993688778e-09	8.326496e-01	3.485873e+00	2.362486e-02
2.161658420196467e-09	8.692945e-01	3.478249e+00	3.010419e-02
2.166342083643882e-09	8.735651e-01	3.470248e+00	3.523044e-02
2.171486078764665e-09	8.635420e-01	3.460424e+00	3.991029e-02
2.179140884119289e-09	8.411298e-01	3.443852e+00	4.506361e-02
2.184619238581998e-09	8.933710e-01	3.430598e+00	4.744953e-02
2.190039091137465e-09	9.749367e-01	3.416391e+00	4.877245e-02
2.194270267090501e-09	9.966065e-01	3.404572e+00	4.911009e-02
2.199068961190365e-09	9.992109e-01	3.390429e+00	4.878284e-02
2.205807510853127e-09	9.860566e-01	3.369321e+00	4.710994e-02
2.211232878503354e-09	1.034281e+00	3.351331e+00	4.478810e-02
2.216694663779290e-09	1.109161e+00	3.332398e+00	4.162981e-02
2.221371648095382e-09	1.127591e+00	3.315582e+00	3.831682e-02
2.226569507968406e-09	1.124801e+00	3.296300e+00	3.403014e-02
2.231923844626238e-09	1.158764e+00	3.275855e+00	2.901017e-02
2.237425380823394e-09	1.210039e+00	3.254309e+00	2.327820e-02
2.243102398686355e-09	1.217667e+00	3.231592e+00	1.683534e-02
2.249192189868158e-09	1.247333e+00	3.206788e+00	9.427364e-03
2.255035679856741e-09	1.284628e+00	3.182667e+00	1.927696e-03
2.262282477875592e-09	1.282542e+00	3.152493e+00	-7.747270e-03
2.268865561170618e-09	1.314715e+00	3.124984e+00	-1.675211e-02
2.275618161255574e-09	1.362408e+00	3.096841e+00	-2.605182e-02
2.286529638003801e-09	1.422831e+00	3.051975e+00	-4.078973e-02
2.298325268129530e-09	1.495644e+00	3.004966e+00	-5.573339e-02
2.316171977660576e-09	1.564195e+00	2.938624e+00	-7.469784e-02
2.335749753733273e-09	1.663317e+00	2.874897e+00	-8.823604e-02
2.356253915954163e-09	1.721556e+00	2.820986e+00	-9.185673e-02
2.374143283047830e-09	1.881712e+00	2.786182e+00	-8.487607e-02
2.392350744811969e-09	2.051063e+00	2.763165e+00	-6.757443e-02
2.412637394647462e-09	2.212553e+00	2.752043e+00	-3.659667e-02
2.439551566655801e-09	2.518760e+00	2.758414e+00	2.063274e-02
2.461515152537808e-09	2.649587e+00	2.778208e+00	7.741511e-02
2.483688339646532e-09	2.771477e+00	2.806925e+00	1.390837e-01
2.510570013999100e-09	3.043627e+00	2.844707e+00	2.121938e-01
2.537641834980934e-09	3.299988e+00	2.910369e+00	2.754425e-01
2.567093169521120e-09	3.464915e+00	2.899001e+00	3.228409e-01
2.602064645236262e-09	3.639984e+00	2.793040e+00	3.427650e-01
2.630102815549853e-09	3.736748e+00	2.842606e+00	3.291421e-01
2.659161706564176e-09	3.795849e+00	2.912795e+00	2.878745e-01
2.688379213708453e-09	3.814809e+00	2.821417e+00	2.218149e-01
2.717680640278901e-09	3.802456e+00	2.689487e+00	1.401998e-01
2.741728081992185e-09	3.778393e+00	2.603621e+00	7.108416e-02
