time	V(probe)
0.000000000000000e+00	1.662151e-04
1.000000000000000e-09	1.662151e-04
1.248610568318584e-09	1.662151e-04
1.250856815379706e-09	3.700549e-01
1.252091946590308e-09	7.175871e-01
1.252905355203743e-09	8.882492e-01
1.253811988128627e-09	1.038243e+00
1.255485971509808e-09	1.234691e+00
1.257397245907439e-09	1.370411e+00
1.259999239746479e-09	1.468971e+00
1.262738638151766e-09	1.515038e+00
1.266502186406792e-09	1.537138e+00
1.270945362452511e-09	1.538951e+00
1.276968593397260e-09	1.529237e+00
1.283977927504808e-09	1.512726e+00
1.293817766137549e-09	1.485331e+00
1.303742486504358e-09	1.453365e+00
1.314435098182195e-09	1.414446e+00
1.326409141708845e-09	1.366032e+00
1.339891440197212e-09	1.306551e+00
1.357171015468986e-09	1.224976e+00
1.379154967676749e-09	1.117304e+00
1.409373043979103e-09	9.733905e-01
1.447344532708071e-09	8.185916e-01
1.500000000000000e-09	6.796607e-01
1.505568817519088e-09	6.707760e-01
1.511137635038176e-09	6.628745e-01
1.516706452557265e-09	6.559559e-01
1.522275270076353e-09	6.500203e-01
1.527844087595441e-09	6.450678e-01
1.533412905114529e-09	6.410983e-01
1.538981722633617e-09	6.381119e-01
1.578270387965137e-09	6.313735e-01
1.622273052818311e-09	6.331371e-01
1.670883754022912e-09	6.013551e-01
1.716208443564250e-09	5.093437e-01
1.771588756792779e-09	3.100295e-01
1.792121588555803e-09	2.166532e-01
1.819419576738755e-09	8.679998e-02
1.844920931082487e-09	-3.214533e-02
1.871185245345934e-09	-1.426654e-01
1.877552094747477e-09	-1.667974e-01
1.880398720926220e-09	-1.771640e-01
1.881965727953891e-09	-1.827536e-01
1.883503055336163e-09	-1.881547e-01
1.885129801217487e-09	-1.937794e-01
1.887084103200561e-09	-2.004112e-01
1.889898213426910e-09	-2.097157e-01
1.892521484300160e-09	-2.181230e-01
1.894525938986133e-09	-2.243704e-01
1.896975045635066e-09	-2.317927e-01
1.900275911780387e-09	-2.414203e-01
1.904238121684966e-09	-2.523980e-01
1.910335292496619e-09	-2.680209e-01
1.913484900593681e-09	-2.754773e-01
1.917578559078967e-09	-2.845317e-01
1.920096255552200e-09	-2.897429e-01
1.923168353785259e-09	-2.957218e-01
1.925987291137465e-09	-3.008462e-01
1.929884454192447e-09	-3.073472e-01
1.934322737340772e-09	-3.139302e-01
1.938850209558574e-09	-3.197446e-01
1.942853113224023e-09	-3.241349e-01
1.947121103478006e-09	-3.280329e-01
1.952387668769712e-09	-3.317523e-01
1.958124975228396e-09	-3.344441e-01
1.965463953155921e-09	-3.358847e-01
1.973601578864818e-09	-3.349363e-01
1.980523543418801e-09	-3.321255e-01
1.984323936332345e-09	-3.298430e-01
1.988613406505922e-09	-3.266549e-01
1.991291715973589e-09	-3.243510e-01
1.994599386489765e-09	-3.211878e-01
1.999984952341759e-09	-3.153245e-01
2.003048711339088e-09	-3.116203e-01
2.006053867910175e-09	-3.077306e-01
2.008086457844602e-09	-3.049661e-01
2.010705122976245e-09	-3.012535e-01
2.015381120632190e-09	-2.942289e-01
2.020316782914546e-09	-2.863087e-01
2.026700042685119e-09	-2.753966e-01
2.033622887773305e-09	-2.628509e-01
2.037327070835455e-09	-2.558967e-01
2.040746106717856e-09	-2.493467e-01
2.042801357966399e-09	-2.453618e-01
2.045518175149383e-09	-2.400502e-01
2.050338244104104e-09	-2.305371e-01
2.055130817821138e-09	-2.210117e-01
2.061530613673235e-09	-2.082966e-01
2.068277180440004e-09	-1.950343e-01
2.071573681293015e-09	-1.886595e-01
2.074890002316206e-09	-1.823265e-01
2.076860495920737e-09	-1.786144e-01
2.079369830787044e-09	-1.739495e-01
2.083150693593342e-09	-1.670694e-01
2.088530650595263e-09	-1.576331e-01
2.094211931733461e-09	-1.481867e-01
2.101444364220333e-09	-1.370583e-01
2.110120593994429e-09	-1.252302e-01
2.122533083616551e-09	-1.116385e-01
2.127320883711665e-09	-1.075388e-01
2.132125874700975e-09	-1.041034e-01
2.134726524593719e-09	-1.025391e-01
2.138126943102419e-09	-1.008140e-01
2.142365021720035e-09	-9.918264e-02
2.146926645088744e-09	-9.807819e-02
2.154526493872804e-09	-9.776542e-02
2.162003388275315e-09	-9.933809e-02
2.167144132897195e-09	-1.015063e-01
2.172655263915226e-09	-1.048042e-01
2.177012825725886e-09	-1.081187e-01
2.181967414898803e-09	-1.126319e-01
2.188985946616211e-09	-1.203440e-01
2.198016914567191e-09	-1.324393e-01
2.203922941095693e-09	-1.416054e-01
2.209289572872188e-09	-1.507322e-01
2.213069673458304e-09	-1.575916e-01
2.217469519003264e-09	-1.659935e-01
2.223431069777165e-09	-1.780390e-01
2.231023981233692e-09	-1.943594e-01
2.240771177069459e-09	-2.166332e-01
2.246305539699557e-09	-2.298174e-01
2.251795167979533e-09	-2.431713e-01
2.255508734293016e-09	-2.523222e-01
2.259761683569369e-09	-2.628778e-01
2.265206210300311e-09	-2.764477e-01
2.273130120481631e-09	-2.961472e-01
2.282469318675140e-09	-3.189867e-01
2.295751048259628e-09	-3.499657e-01
2.303557147423706e-09	-3.670032e-01
2.311260854474768e-09	-3.826784e-01
2.316690098317311e-09	-3.929407e-01
2.322566740433664e-09	-4.032235e-01
2.329123752764035e-09	-4.135906e-01
2.339865796532767e-09	-4.277895e-01
2.348003853890162e-09	-4.360684e-01
2.355699764106219e-09	-4.417928e-01
2.362063141478455e-09	-4.449108e-01
2.368797251193318e-09	-4.465681e-01
2.376480787559651e-09	-4.463556e-01
2.389233168320826e-09	-4.410084e-01
2.399585006132103e-09	-4.321038e-01
2.409001894126565e-09	-4.205492e-01
2.418856000410014e-09	-4.050822e-01
2.428736661005786e-09	-3.863282e-01
2.439522226952163e-09	-3.624787e-01
2.448933938676793e-09	-3.390978e-01
2.458826681994139e-09	-3.123381e-01
2.471568814348232e-09	-2.752661e-01
2.487415372437812e-09	-2.264715e-01
2.509556623898099e-09	-1.569302e-01
2.534332856222350e-09	-8.312512e-02
2.555492141650547e-09	-2.841429e-02
2.576754603011493e-09	1.501724e-02
2.597874764776257e-09	4.482610e-02
2.625639076464822e-09	6.234764e-02
2.656608958061061e-09	5.285404e-02
2.681833906092795e-09	2.489821e-02
2.701593458450550e-09	-6.463847e-03
2.719935347673010e-09	-3.975873e-02
2.738770120784463e-09	-7.469049e-02
2.762248079042321e-09	-1.142171e-01
2.786146068322462e-09	-1.452378e-01
2.811402106193974e-09	-1.627509e-01
2.828524664357406e-09	-1.630325e-01
2.846172186685285e-09	-1.520310e-01
2.862409058601254e-09	-1.325110e-01
2.877714119927633e-09	-1.073332e-01
2.892796442638927e-09	-7.733472e-02
2.907903227883832e-09	-4.312048e-02
2.922733271828485e-09	-6.232772e-03
2.935519301823066e-09	2.753173e-02
2.949393384365423e-09	6.476998e-02
2.961328116556718e-09	9.594196e-02
2.973820909410591e-09	1.267376e-01
2.982507982867681e-09	1.468282e-01
2.991800299589167e-09	1.667941e-01
2.999258202540075e-09	1.813635e-01
3.007573773174588e-09	1.957911e-01
3.018264825864788e-09	2.113634e-01
3.032389089541612e-09	2.265375e-01
3.045590526994732e-09	2.345988e-01
3.059562811018286e-09	2.359150e-01
3.074091011779781e-09	2.292797e-01
3.085991941266330e-09	2.181862e-01
3.098824831149652e-09	2.010206e-01
3.112907169722390e-09	1.763326e-01
3.128191739141305e-09	1.433062e-01
3.151528625730454e-09	8.342579e-02
3.165568221233499e-09	4.341030e-02
3.182052165967383e-09	-5.510459e-03
3.187908117041173e-09	-2.312951e-02
3.193512194505365e-09	-3.991610e-02
3.198906059148151e-09	-5.589233e-02
3.204533431396463e-09	-7.227766e-02
3.209635394766305e-09	-8.682860e-02
3.215174486337390e-09	-1.022375e-01
3.221655669283406e-09	-1.196485e-01
3.231781161951798e-09	-1.452263e-01
3.241720993810993e-09	-1.681787e-01
3.253740727042089e-09	-1.928444e-01
3.266412804672064e-09	-2.149291e-01
3.280522084183625e-09	-2.342620e-01
3.291789068281123e-09	-2.453675e-01
3.303225967013482e-09	-2.527200e-01
3.316309429092130e-09	-2.567866e-01
3.332454425322304e-09	-2.562385e-01
3.347332977188956e-09	-2.510307e-01
3.364912868057782e-09	-2.402056e-01
3.380008783638857e-09	-2.277934e-01
3.394632304729052e-09	-2.140387e-01
3.403601908184626e-09	-2.052431e-01
3.412939038905623e-09	-1.963063e-01
3.417189541711533e-09	-1.924120e-01
3.420687885242578e-09	-1.893310e-01
3.423527945119513e-09	-1.869254e-01
3.426162481897566e-09	-1.847777e-01
3.431431555453671e-09	-1.807428e-01
3.435279626597533e-09	-1.780297e-01
3.439029183011676e-09	-1.755955e-01
3.442921861098606e-09	-1.733186e-01
3.447309081929467e-09	-1.710953e-01
3.452476305997940e-09	-1.689823e-01
3.460037728737421e-09	-1.669469e-01
3.469580593022284e-09	-1.663174e-01
3.479896506913586e-09	-1.683027e-01
3.494152530577789e-09	-1.760266e-01
3.507064685801161e-09	-1.882823e-01
3.516332408756154e-09	-2.002248e-01
3.526503572583505e-09	-2.162986e-01
3.543294773804624e-09	-2.491844e-01
3.558255429285511e-09	-2.845011e-01
3.568511581775924e-09	-3.115374e-01
3.579055318175391e-09	-3.413051e-01
3.590424868552280e-09	-3.751752e-01
3.599571865081813e-09	-4.034041e-01
3.609793426026538e-09	-4.355429e-01
3.619749984604184e-09	-4.670361e-01
3.629799429111793e-09	-4.985614e-01
3.639002263244078e-09	-5.268245e-01
3.648800525163747e-09	-5.558773e-01
3.659440533725106e-09	-5.857611e-01
3.670407721734841e-09	-6.142722e-01
3.682359345346628e-09	-6.421558e-01
3.691470359412087e-09	-6.608742e-01
3.702013983851683e-09	-6.794590e-01
3.712945829343748e-09	-6.949709e-01
3.721056186405662e-09	-7.038902e-01
3.731400068994460e-09	-7.119864e-01
3.741976874758660e-09	-7.164311e-01
3.753525699699739e-09	-7.168370e-01
3.765739565469616e-09	-7.122842e-01
3.782951899542487e-09	-6.976905e-01
3.799186133973230e-09	-6.761004e-01
3.815991815390464e-09	-6.472659e-01
3.825727096962759e-09	-6.281603e-01
3.836185183055978e-09	-6.062487e-01
3.842496337076200e-09	-5.925016e-01
3.851002196423187e-09	-5.735701e-01
3.861140634974499e-09	-5.507136e-01
