time	V(far)	V(near)	V(probe)
2.026535162059178e-09	5.996929e-01	2.874408e+00	1.502963e-01
2.030134889762349e-09	6.282621e-01	2.874767e+00	1.619643e-01
2.036791755064328e-09	6.590629e-01	2.875849e+00	1.831632e-01
2.040919331014295e-09	7.207626e-01	2.876758e+00	1.960136e-01
2.045059233150076e-09	8.109014e-01	2.877815e+00	2.086347e-01
2.048049060487489e-09	8.514385e-01	2.878655e+00	2.175622e-01
2.051855758643802e-09	8.812692e-01	2.879796e+00	2.286754e-01
2.057890871856718e-09	9.004288e-01	2.881717e+00	2.456478e-01
2.064617194614235e-09	9.036072e-01	2.883932e+00	2.635233e-01
2.069242479311536e-09	9.655252e-01	2.885446e+00	2.751131e-01
2.074044874657938e-09	1.060265e+00	2.886961e+00	2.864868e-01
2.077596804464438e-09	1.093741e+00	2.888023e+00	2.944401e-01
2.081886654688022e-09	1.111458e+00	2.889210e+00	3.034951e-01
2.089037887423975e-09	1.114610e+00	2.890888e+00	3.171702e-01
2.093839121542018e-09	1.185949e+00	2.891761e+00	3.253106e-01
2.098618849873594e-09	1.297271e+00	2.892386e+00	3.325399e-01
2.102507077612034e-09	1.364420e+00	2.892694e+00	3.377566e-01
2.107714568626625e-09	1.424531e+00	2.892796e+00	3.437781e-01
2.118129550655809e-09	1.468864e+00	2.891797e+00	3.523889e-01
2.126337403917513e-09	1.503889e+00	2.889784e+00	3.558659e-01
2.135587259623284e-09	1.545463e+00	2.886098e+00	3.561995e-01
2.154086971034827e-09	1.631952e+00	2.873974e+00	3.454537e-01
2.191086393857912e-09	1.797303e+00	2.832012e+00	2.820233e-01
2.229405185542632e-09	1.944070e+00	2.770659e+00	1.698227e-01
2.254323446390686e-09	2.027541e+00	2.727338e+00	8.159995e-02
2.275442220375156e-09	2.128070e+00	2.693512e+00	4.976026e-03
2.297849175583430e-09	2.183204e+00	2.664817e+00	-7.175608e-02
2.319004477961744e-09	2.222674e+00	2.647811e+00	-1.348418e-01
2.349106576019683e-09	2.371676e+00	2.645516e+00	-2.006294e-01
2.382193110169669e-09	2.538632e+00	2.675819e+00	-2.334678e-01
2.419180299590324e-09	2.744442e+00	2.748148e+00	-2.191623e-01
2.458489399066608e-09	2.976547e+00	2.856789e+00	-1.547311e-01
2.484815961038602e-09	3.129673e+00	2.937965e+00	-9.267778e-02
2.503674849378909e-09	3.232101e+00	2.997170e+00	-4.456330e-02
2.521913122994978e-09	3.321402e+00	3.048231e+00	1.059185e-03
2.540531452698007e-09	3.399886e+00	3.113526e+00	4.357011e-02
2.559385702312192e-09	3.463753e+00	3.153283e+00	7.955702e-02
2.585661019041673e-09	3.523469e+00	3.029598e+00	1.138808e-01
2.609236927978450e-09	3.548023e+00	2.927956e+00	1.277877e-01
2.634482253478986e-09	3.546427e+00	3.029234e+00	1.258810e-01
2.659792306979486e-09	3.518900e+00	3.157321e+00	1.078742e-01
2.686454427791602e-09	3.465491e+00	3.116862e+00	7.296678e-02
2.713179102288384e-09	3.393011e+00	2.965083e+00	2.557194e-02
2.731771294771953e-09	3.336211e+00	2.899942e+00	-1.101967e-02
2.751524835005024e-09	3.275450e+00	2.831409e+00	-4.877349e-02
2.769820979368508e-09	3.222557e+00	2.745618e+00	-7.957403e-02
2.795467183564298e-09	3.160204e+00	2.708635e+00	-1.107729e-01
2.822163336914123e-09	3.115482e+00	2.738436e+00	-1.242851e-01
2.858790836880950e-09	3.092292e+00	2.785810e+00	-1.095477e-01
2.893078019585850e-09	3.106907e+00	2.844291e+00	-6.620050e-02
2.914284424716613e-09	3.129416e+00	2.905668e+00	-2.953133e-02
2.932123687665725e-09	3.153246e+00	2.962134e+00	3.852391e-03
2.950898702448926e-09	3.180490e+00	2.999597e+00	3.858799e-02
2.963331993274941e-09	3.186317e+00	2.989381e+00	6.014654e-02
2.977540039781311e-09	3.208024e+00	3.069842e+00	8.220502e-02
2.995987650906806e-09	3.229307e+00	3.156273e+00	1.050865e-01
3.014173301847803e-09	3.249319e+00	3.222352e+00	1.194300e-01
3.039258363125771e-09	3.287843e+00	3.402944e+00	1.224485e-01
3.058756356975567e-09	3.262408e+00	3.335364e+00	1.098311e-01
3.071921408412291e-09	3.233315e+00	3.217748e+00	9.377834e-02
3.087290840825245e-09	3.216251e+00	3.238821e+00	6.829996e-02
3.100056164617406e-09	3.202640e+00	3.303023e+00	4.248731e-02
3.113385844585901e-09	3.181581e+00	3.348061e+00	1.187357e-02
3.138612003559402e-09	3.139339e+00	3.412912e+00	-5.346428e-02
3.152934329008146e-09	3.107568e+00	3.368938e+00	-9.355357e-02
3.165784188836354e-09	3.084227e+00	3.335349e+00	-1.300361e-01
3.180078034853749e-09	3.056983e+00	3.281484e+00	-1.697759e-01
3.189285230923710e-09	3.034611e+00	3.281881e+00	-1.942509e-01
3.197797420447939e-09	3.015680e+00	3.305318e+00	-2.156414e-01
3.207657885778123e-09	2.999495e+00	3.289087e+00	-2.385381e-01
3.218501994498845e-09	2.925027e+00	3.307509e+00	-2.609529e-01
3.227712821186490e-09	2.862315e+00	3.335920e+00	-2.774149e-01
3.237089605973088e-09	2.843213e+00	3.344081e+00	-2.915019e-01
3.242502493767955e-09	2.837458e+00	3.347265e+00	-2.983438e-01
