time	V(far)	V(near)	V(probe)
2.179625117188067e-09	1.058314e+00	2.164157e+00	1.262566e+00
2.213976217345333e-09	1.009832e+00	2.186375e+00	1.223981e+00
2.250735174855196e-09	9.795109e-01	2.210126e+00	1.218284e+00
2.282089170482021e-09	9.689416e-01	2.230332e+00	1.193951e+00
2.317408559638598e-09	9.879760e-01	2.253030e+00	1.248344e+00
2.359119355563714e-09	1.048892e+00	2.279759e+00	1.277061e+00
2.388535694134063e-09	1.084503e+00	2.298559e+00	1.255987e+00
2.421676271146450e-09	1.132856e+00	2.319674e+00	1.320070e+00
2.455973054058991e-09	1.197331e+00	2.341420e+00	1.342924e+00
2.493052862917147e-09	1.250406e+00	2.370813e+00	1.367394e+00
2.532662984288510e-09	1.291618e+00	2.395401e+00	1.393906e+00
2.590950798801747e-09	1.335847e+00	2.413254e+00	1.434609e+00
2.648507764960689e-09	1.374413e+00	2.458269e+00	1.477291e+00
2.725299795066821e-09	1.434734e+00	2.534139e+00	1.536947e+00
2.796512533513176e-09	1.503334e+00	2.538974e+00	1.594315e+00
2.860624802497079e-09	1.574008e+00	2.508632e+00	1.648581e+00
2.933629343672293e-09	1.660142e+00	2.547567e+00	1.712853e+00
3.004811964983477e-09	1.743326e+00	2.687912e+00	1.773071e+00
3.083105125968427e-09	1.826638e+00	2.822563e+00	1.829464e+00
3.154838326099721e-09	1.896888e+00	2.843310e+00	1.870507e+00
3.226811527849918e-09	1.953834e+00	2.808307e+00	1.904783e+00
3.308846970974490e-09	2.021581e+00	2.793501e+00	1.940379e+00
3.395475688272422e-09	2.106039e+00	2.856687e+00	1.976249e+00
3.498473773801966e-09	2.151031e+00	2.973663e+00	2.015302e+00
3.555392359351357e-09	2.200133e+00	3.041947e+00	2.064822e+00
3.606389504014210e-09	2.260917e+00	3.072637e+00	2.046091e+00
3.641494554533625e-09	2.297132e+00	3.072371e+00	2.053008e+00
3.684358280106946e-09	2.329648e+00	3.067492e+00	2.029503e+00
3.726072798390420e-09	2.376760e+00	3.088256e+00	2.067562e+00
3.775144173336432e-09	2.441866e+00	3.157315e+00	2.091877e+00
3.824043486826659e-09	2.442380e+00	3.208678e+00	2.090257e+00
3.862739635212892e-09	2.424495e+00	3.229581e+00	2.102195e+00
3.904088692651532e-09	2.411111e+00	3.233416e+00	2.080659e+00
3.945959125131840e-09	2.424273e+00	3.245333e+00	2.135957e+00
3.990169534409351e-09	2.453212e+00	3.267354e+00	2.114205e+00
4.030702581321512e-09	2.508590e+00	3.301264e+00	2.179669e+00
4.075413718204892e-09	2.571095e+00	3.342012e+00	2.159101e+00
4.111591879365855e-09	2.581699e+00	3.342820e+00	2.142762e+00
4.152928597115808e-09	2.642219e+00	3.369157e+00	2.246196e+00
4.186534955997773e-09	2.717706e+00	3.405699e+00	2.264253e+00
4.222561265047665e-09	2.743619e+00	3.415770e+00	2.249396e+00
4.254030424772710e-09	2.747747e+00	3.436802e+00	2.299792e+00
4.290507793531218e-09	2.750675e+00	3.477789e+00	2.318923e+00
