time	V(far)	V(near)	V(probe)
0.000000000000000e+00	2.345554e-03	2.345554e-03	2.662684e+00
1.000000000000000e-09	2.345554e-03	2.345554e-03	2.662684e+00
1.248610568318585e-09	2.345554e-03	2.345554e-03	2.662684e+00
1.250856815379707e-09	1.775414e-01	1.775722e-01	2.837880e+00
1.252057678309177e-09	3.481268e-01	3.482121e-01	3.008465e+00
1.252936855640910e-09	4.532115e-01	4.533675e-01	3.113550e+00
1.253890732524829e-09	5.513768e-01	5.516466e-01	3.211715e+00
1.255798486292668e-09	7.079594e-01	7.085979e-01	3.368298e+00
1.258501013458981e-09	8.612283e-01	8.627714e-01	3.521567e+00
1.261959196524396e-09	9.801570e-01	9.836288e-01	3.640496e+00
1.265781633760633e-09	1.051688e+00	1.058432e+00	3.712027e+00
1.270516615072767e-09	1.095113e+00	1.107726e+00	3.755451e+00
1.276184279995589e-09	1.116153e+00	1.138585e+00	3.776492e+00
1.283730249075822e-09	1.124295e+00	1.164644e+00	3.784633e+00
1.293660263803963e-09	1.124738e+00	1.196992e+00	3.785076e+00
1.308644002322476e-09	1.121541e+00	1.258406e+00	3.781880e+00
1.330537892299777e-09	1.115967e+00	1.375454e+00	3.776306e+00
1.352547153495207e-09	1.109598e+00	1.513495e+00	3.769937e+00
1.379992024689644e-09	1.099698e+00	1.689033e+00	3.760036e+00
1.409962236540540e-09	1.085561e+00	1.857337e+00	3.745900e+00
1.448742590100696e-09	1.061162e+00	2.007639e+00	3.721501e+00
1.461198273012202e-09	1.051809e+00	2.037534e+00	3.712148e+00
1.475088634176989e-09	1.040539e+00	2.060635e+00	3.700877e+00
1.500000000000000e-09	1.018315e+00	2.079325e+00	3.678654e+00
1.502491136582301e-09	1.015947e+00	2.079633e+00	3.676286e+00
1.507473409746904e-09	1.011168e+00	2.079842e+00	3.671507e+00
1.517437956076108e-09	1.001363e+00	2.078049e+00	3.661701e+00
1.537367048734517e-09	9.808860e-01	2.067985e+00	3.641225e+00
1.577225234051336e-09	9.373724e-01	2.038254e+00	3.597711e+00
1.637024319325642e-09	8.685692e-01	2.012377e+00	3.528908e+00
1.693439633954363e-09	8.023842e-01	2.033183e+00	3.462723e+00
1.766619624520001e-09	7.169251e-01	2.110184e+00	3.377264e+00
1.846661619424422e-09	6.245438e-01	2.207878e+00	3.284882e+00
1.871002233324984e-09	5.967092e-01	2.234158e+00	3.257048e+00
1.882583426655631e-09	5.836751e-01	2.245688e+00	3.243563e+00
1.886983798485979e-09	5.789111e-01	2.249918e+00	3.237647e+00
1.889710454311896e-09	5.762748e-01	2.252500e+00	3.230472e+00
1.892133468106141e-09	5.740536e-01	2.254770e+00	3.229263e+00
1.894703761557845e-09	5.715865e-01	2.257154e+00	3.226349e+00
1.897655283632600e-09	5.690079e-01	2.259862e+00	3.217820e+00
1.900876748653034e-09	5.664455e-01	2.262783e+00	3.214175e+00
1.905594689244335e-09	5.634888e-01	2.266999e+00	3.195599e+00
1.910118108915802e-09	5.619785e-01	2.270978e+00	3.179477e+00
1.914026511361787e-09	5.609396e-01	2.274368e+00	3.175075e+00
1.918374806442055e-09	5.594028e-01	2.278093e+00	3.170184e+00
1.921585768160074e-09	5.595915e-01	2.280814e+00	3.126095e+00
1.925005393594460e-09	5.611166e-01	2.283687e+00	3.122259e+00
1.927996520112227e-09	5.620691e-01	2.286180e+00	3.118909e+00
1.931534842970334e-09	5.627609e-01	2.289107e+00	3.114952e+00
1.934839457447747e-09	5.654504e-01	2.291821e+00	3.042045e+00
1.938230208263759e-09	5.701423e-01	2.294589e+00	3.038264e+00
1.941516482705451e-09	5.739743e-01	2.297256e+00	3.034605e+00
1.945340750204846e-09	5.775971e-01	2.300343e+00	3.030355e+00
1.952989285203634e-09	5.823768e-01	2.306476e+00	3.021879e+00
1.957643546503970e-09	5.912022e-01	2.310186e+00	2.848722e+00
1.962507309383349e-09	6.062266e-01	2.314052e+00	2.843364e+00
1.966369848011517e-09	6.162348e-01	2.317116e+00	2.839118e+00
1.971125152465342e-09	6.263981e-01	2.320886e+00	2.833905e+00
1.976177271010840e-09	6.441711e-01	2.324891e+00	2.614467e+00
1.980907409038312e-09	6.666790e-01	2.328645e+00	2.606680e+00
1.985603917632872e-09	6.854763e-01	2.332378e+00	2.601577e+00
1.991105235127446e-09	7.032364e-01	2.336764e+00	2.595619e+00
2.002107870116594e-09	7.267506e-01	2.345592e+00	2.583770e+00
2.009506299627428e-09	7.514799e-01	2.351578e+00	2.286892e+00
2.017645971430470e-09	7.877419e-01	2.358218e+00	2.278233e+00
2.024294047490781e-09	8.084434e-01	2.363689e+00	2.271201e+00
2.032491767415673e-09	8.245284e-01	2.370496e+00	2.262580e+00
2.040471214339695e-09	8.487812e-01	2.377186e+00	1.957646e+00
2.049024900938395e-09	8.817906e-01	2.384430e+00	1.948773e+00
2.057087026553598e-09	9.005587e-01	2.391323e+00	1.940470e+00
2.066652377092975e-09	9.099568e-01	2.399578e+00	1.930697e+00
2.076548810398168e-09	9.254446e-01	2.408199e+00	1.640050e+00
2.087384842938746e-09	9.503727e-01	2.417719e+00	1.562222e+00
2.098728202229018e-09	9.676871e-01	2.427758e+00	1.442636e+00
2.112595558507087e-09	9.737204e-01	2.440103e+00	1.414466e+00
2.137273883099551e-09	9.468347e-01	2.462145e+00	1.312414e+00
2.160632023603557e-09	8.972294e-01	2.482955e+00	1.248565e+00
2.185419631549675e-09	8.356071e-01	2.504811e+00	1.207713e+00
