time	V(far)	V(near)	V(probe)
2.006120836407639e-09	-4.762495e-02	3.131397e+00	9.597406e-01
2.009061703840394e-09	-3.352202e-02	3.138631e+00	9.661220e-01
2.012628493424610e-09	-2.314226e-02	3.147448e+00	9.740588e-01
2.018594890678372e-09	-1.379960e-02	3.162260e+00	9.877672e-01
2.024962045330776e-09	-7.045430e-03	3.178082e+00	1.002913e+00
2.029242217471694e-09	3.756438e-02	3.188683e+00	9.408472e-01
2.033193401902643e-09	9.873732e-02	3.198413e+00	9.511225e-01
2.035970431081777e-09	1.248828e-01	3.205207e+00	9.580603e-01
2.039353102439826e-09	1.456586e-01	3.213418e+00	9.665712e-01
2.044719493126993e-09	1.640755e-01	3.226262e+00	9.801669e-01
2.050836722369602e-09	1.748026e-01	3.240567e+00	9.957339e-01
2.058756260116673e-09	1.863304e-01	3.258418e+00	1.015840e+00
2.068377091795034e-09	2.065425e-01	3.278844e+00	1.039916e+00
2.073850038271407e-09	2.835001e-01	3.289749e+00	1.098013e+00
2.079325027110565e-09	3.867176e-01	3.300062e+00	1.111137e+00
2.083483837008778e-09	4.418236e-01	3.307466e+00	1.156976e+00
2.088379097101123e-09	4.954560e-01	3.315671e+00	1.174052e+00
2.095412178474334e-09	5.280100e-01	3.326425e+00	1.189444e+00
2.101114394007977e-09	5.536686e-01	3.334197e+00	1.244997e+00
2.107484515899821e-09	5.840578e-01	3.341813e+00	1.257514e+00
2.120224759683508e-09	6.468883e-01	3.353444e+00	1.354806e+00
2.142493614672193e-09	7.819454e-01	3.361495e+00	1.482210e+00
2.162319639174922e-09	8.749136e-01	3.355079e+00	1.590974e+00
2.182774241315158e-09	9.746398e-01	3.335256e+00	1.696419e+00
2.211137517597054e-09	1.107272e+00	3.288132e+00	1.829880e+00
2.239095209438422e-09	1.229687e+00	3.224269e+00	1.947864e+00
2.271154816901857e-09	1.364761e+00	3.139611e+00	2.071835e+00
2.300268386643639e-09	1.489979e+00	3.061891e+00	2.180475e+00
2.333247120917374e-09	1.644629e+00	2.985060e+00	2.307696e+00
2.365944755417782e-09	1.734225e+00	2.930094e+00	2.306869e+00
2.391558130270041e-09	1.961536e+00	2.905644e+00	2.561655e+00
2.417157603631444e-09	2.208798e+00	2.898224e+00	2.686610e+00
2.441431795276589e-09	2.309707e+00	2.905307e+00	2.809942e+00
2.467248894835628e-09	2.435851e+00	2.924305e+00	2.867599e+00
2.491363947734634e-09	2.638735e+00	2.964998e+00	3.060409e+00
2.514790005849277e-09	2.849228e+00	2.963274e+00	3.166382e+00
2.542936635108734e-09	2.996640e+00	2.978893e+00	3.274946e+00
2.574223502382124e-09	3.166474e+00	3.001418e+00	3.364521e+00
2.606406624569485e-09	3.312410e+00	2.883200e+00	3.417639e+00
2.633166673109753e-09	3.406593e+00	2.866491e+00	3.431410e+00
2.662905017696253e-09	3.481422e+00	2.943685e+00	3.416232e+00
2.691979448144775e-09	3.526080e+00	2.886494e+00	3.373720e+00
2.718635540177530e-09	3.546880e+00	2.844878e+00	3.316410e+00
2.748406383608894e-09	3.555801e+00	2.760415e+00	3.241295e+00
2.770571051818540e-09	3.558024e+00	2.675435e+00	3.183753e+00
2.788028065966598e-09	3.560176e+00	2.672525e+00	3.140774e+00
2.807853005135170e-09	3.565188e+00	2.667947e+00	3.096883e+00
2.825941732442014e-09	3.585889e+00	2.650370e+00	3.084588e+00
2.850868513164546e-09	3.595853e+00	2.677003e+00	3.025637e+00
2.870078417215905e-09	3.598942e+00	2.726775e+00	3.005172e+00
2.883473996207816e-09	3.628522e+00	2.719864e+00	3.013651e+00
2.896733909164932e-09	3.645742e+00	2.734035e+00	2.986890e+00
2.904509020518962e-09	3.652113e+00	2.755041e+00	2.994784e+00
2.909974009655316e-09	3.664500e+00	2.758503e+00	3.000788e+00
2.914698987460414e-09	3.676891e+00	2.757940e+00	3.006241e+00
2.919474394179883e-09	3.689747e+00	2.756349e+00	3.011966e+00
2.924099163094214e-09	3.688503e+00	2.779449e+00	2.969776e+00
2.929223715636527e-09	3.680185e+00	2.821457e+00	2.975986e+00
2.934156333953334e-09	3.684147e+00	2.843621e+00	2.982364e+00
2.939753708069038e-09	3.695669e+00	2.853473e+00	2.989665e+00
2.946229411447203e-09	3.712646e+00	2.852979e+00	2.998109e+00
2.957152947040875e-09	3.741318e+00	2.844198e+00	3.012118e+00
2.965245800853370e-09	3.737765e+00	2.884326e+00	2.967479e+00
2.975937955775001e-09	3.728535e+00	2.954704e+00	2.979925e+00
2.985704828618098e-09	3.747769e+00	2.961118e+00	2.990132e+00
2.997092763957184e-09	3.747742e+00	2.994914e+00	2.951601e+00
3.011661497290636e-09	3.744804e+00	3.035037e+00	2.960880e+00
3.028351950755753e-09	3.742868e+00	3.075015e+00	2.918617e+00
3.054538066372901e-09	3.707727e+00	3.171590e+00	2.873256e+00
3.078760029573517e-09	3.676324e+00	3.112781e+00	2.816033e+00
3.104682674369354e-09	3.616273e+00	3.075162e+00	2.740783e+00
3.126656719367825e-09	3.552216e+00	3.142515e+00	2.668625e+00
3.150048818002300e-09	3.460739e+00	3.195579e+00	2.586427e+00
3.171814354183905e-09	3.372290e+00	3.158472e+00	2.507840e+00
3.192464910749488e-09	3.314889e+00	3.063093e+00	2.456137e+00
