time	V(pulse)	V(ref)	V(v+)
0.000000000000000e+00	2.836563e-03	2.833268e-03	3.297167e+00
1.000000000000000e-09	2.836563e-03	2.833268e-03	3.297167e+00
1.199449531894432e-09	2.836563e-03	2.833268e-03	3.297167e+00
1.246474218195727e-09	1.149131e+00	1.050035e-01	3.194997e+00
1.257386626816080e-09	2.135522e+00	2.867134e-01	3.013287e+00
1.266047328428834e-09	2.606806e+00	5.442811e-01	2.755719e+00
1.272152587718745e-09	2.494357e+00	6.931161e-01	2.606884e+00
1.278744065557856e-09	2.425966e+00	7.856287e-01	2.514371e+00
1.291796208783235e-09	2.359268e+00	8.803257e-01	2.419674e+00
1.305017179221749e-09	2.340300e+00	9.135191e-01	2.386481e+00
1.324160010687649e-09	2.357361e+00	9.038201e-01	2.396180e+00
1.344449457529331e-09	2.394166e+00	8.687911e-01	2.431209e+00
1.377335259508502e-09	2.463055e+00	7.989857e-01	2.501014e+00
1.417463661895574e-09	2.546006e+00	7.141691e-01	2.585831e+00
1.446034711118338e-09	2.602520e+00	6.565701e-01	2.643430e+00
1.500000000000000e-09	2.705904e+00	5.517100e-01	2.748290e+00
1.505396528888166e-09	2.715949e+00	5.415831e-01	2.758417e+00
1.516189586664499e-09	2.735934e+00	5.214509e-01	2.778549e+00
1.537775702217163e-09	2.775274e+00	4.818879e-01	2.818112e+00
1.580947933322493e-09	2.850224e+00	4.066959e-01	2.893304e+00
1.667292395533152e-09	2.984260e+00	2.726428e-01	3.027357e+00
1.777720366373718e-09	3.130080e+00	1.273247e-01	3.172675e+00
1.824972680662054e-09	3.181877e+00	7.592456e-02	3.224075e+00
1.841652439832399e-09	3.197492e+00	6.049400e-02	3.239506e+00
1.853658881999351e-09	3.207911e+00	5.022129e-02	3.249779e+00
1.862900981090354e-09	3.215612e+00	4.263904e-02	3.257361e+00
1.871191687998176e-09	3.222292e+00	3.606844e-02	3.263932e+00
1.879478113515115e-09	3.228791e+00	2.968225e-02	3.270318e+00
1.883981252691242e-09	3.232236e+00	2.629943e-02	3.273701e+00
1.890499499679040e-09	3.237101e+00	2.152655e-02	3.278473e+00
1.898595584800231e-09	3.242992e+00	1.575196e-02	3.284248e+00
1.907430844379042e-09	3.249243e+00	9.630090e-03	3.290370e+00
1.914437418778998e-09	3.254058e+00	4.918746e-03	3.295081e+00
1.921638390412558e-09	3.258867e+00	2.180356e-04	3.299782e+00
1.928952977130257e-09	3.263587e+00	-4.390755e-03	3.304391e+00
1.943341127151025e-09	3.272481e+00	-1.306273e-02	3.313063e+00
1.958580142449277e-09	3.281383e+00	-2.172535e-02	3.321725e+00
